symbol,base_currency,base_currency_desc,close,24h_close_change|5,market_cap_calc
CRYPTO:APXAUSD,APX,AstroPepeX,2.2559e-05,-2.6538361957366017,1466335
CRYPTO:APYSUSD,APYS,APYSwap,0.0023469,-3.560123329907504,42692.5423884
CRYPTO:AQAUSD,AQA,AQA,0.00031168,-1.5561377481771392,250.74437824
CRYPTO:AQTUSD,AQT,Alpha Quark Token,1.2503,3.3903911353675618,33515793.1103
CRYPTO:AQUARUSD,AQUA,Aquarius,0.00075673,-3.103832413537015,20944063.89080871
CRYPTO:ARUSD,AR,Arweave,8.0985,-1.1255432394159879,531686495.90099996
CRYPTO:ARBIUSD,ARB,Arbitrum,0.43092,-2.273295028728458,2049755275.7085602
CRYPTO:ARBIPUSD,ARBI,ArbiPad,1.3219e-05,-0.181227818470136,14276.52
CRYPTO:ARCADE2USD,ARC,Arcade,0.0070126,-1.2490670722262083,256132.97976694364
CRYPTO:ARCAIRUSD,ARC,AI Rig Complex,0.089697,-4.532879336028942,89696849.21934299
CRYPTO:ARCUSD,ARC,ARC,0.0099135,4.319234006734001,9119092.11038195
CRYPTO:ARCALUSD,ARCA,Legend of Arcadia,0.016964,3.0431877543582666,1088240.6
CRYPTO:ARCHWUSD,ARCH,Archway,0.0092795,-1.5834464619039517,2695176.1837015
CRYPTO:ARDRUSD,ARDR,Ardor,0.10309,-0.9321545262348632,102931883.78024289
CRYPTO:AREAUSD,AREA,Areon Network,0.023759,-4.004040404040413,2814525.661827
CRYPTO:ARESUSD,ARES,Ares Protocol,0.00031948,-1.6560980114510804,73857.13777726903
CRYPTO:ARGUSD,ARG,Argentine Football Association Fan Token,0.68752,2.9408681850171434,4484820.1512
CRYPTO:ARGONUSD,ARGON,Argon,0.00041788,-7.115072573295697,41301.66600730486
CRYPTO:ARI2USD,ARI,ARI,0.0038188,-12.803112558812888,1831682.302808
CRYPTO:ARIOUSD,ARIO,ARIO Network,0.021019,1.5705035275925334,5729690.447592
CRYPTO:ARIXUSD,ARIX,Arix,0.0040988,-2.7632451551101553,256929.10132279998
CRYPTO:ARKUSD,ARK,Ark,0.43494,-0.36623329060611387,82037944.38047999
CRYPTO:ARKMUSD,ARKM,Arkham,0.70996,0.2004687014710417,159811996
CRYPTO:ARMYXUSD,ARMY,XRP ARMY,0.035898,-1.6681732270523422,21143922
CRYPTO:ARPAUSD,ARPA,ARPA,0.027194,-0.5490282200505135,41323637.95655616
CRYPTO:ARRRUSD,ARRR,Pirate Chain,0.14649,-1.439816995223039,28743359.26470587
CRYPTO:ARSUSD,ARS,Aquarius Loan,0.00080115,0.6450713507211139,136783.72115415
CRYPTO:ARTEMUSD,ARTEM,Artem Coin,0.0022219,-0.6039187617428481,769482.7088265001
CRYPTO:ARTFIUSD,ARTFI,ARTFI,0.0077296,2.0288018585250556,1007692.4928
CRYPTO:ARTYUSD,ARTY,Artyfact,0.29209,-5.3574320603763805,5689979.504430001
CRYPTO:ARVUSD,ARV,Ariva,1.0691e-05,1.7082533589251339,775665.93181029
CRYPTO:ARXUSD,ARX,ARCS,0.00016999,5.857789801799678,49909.064
CRYPTO:ASDUSD,ASD,ASD,0.022289,-9.339027862517794,14724453.842186
CRYPTO:ASHSUSD,ASH,AshSwap,0.0030758,-1.252086811352253,440864.66564140003
CRYPTO:ASIUSD,ASI,Sender,0.0048678,-4.196024404644742,486780
CRYPTO:ASKUSD,ASK,Permission Coin,0.00021482,-1.8907563025210072,3472913.15759636
CRYPTO:ASMOUSD,ASM,AS Monaco Fan Token,0.27789,0.3021039381406248,1222704.60651
CRYPTO:ASMUSD,ASM,Assemble Protocol,0.024959,-2.316934757935119,37438500
CRYPTO:ASMAUSD,ASM,AsMatch,0.17229,-6.379394663913493,321608.05743
CRYPTO:ASRUSD,ASR,AS Roma Fan Token,1.6994,-4.398695016312298,12563524.849200001
CRYPTO:ASSUSD,ASS,Australian Safe Shepherd,7.5756e-10,-0.4834217855078599,7575600
CRYPTO:ASSAIUSD,ASSAI,ASSAI,0.00042258,0.04735072683365805,422579.99957742
CRYPTO:ASTUSD,AST,AirSwap,0.050294,-4.619761046842406,8775273.65583724
CRYPTO:ASTROOUSD,AST,Astroon,0.0013479,-2.2765170738780545,138833.69999999998
CRYPTO:ASTOUSD,ASTO,Altered State Token,0.011345,1.6121809225257466,5934367.209573999
CRYPTO:ASTRUSD,ASTR,Astar,0.033457,0.7863103666435615,256151568.254406
CRYPTO:ASTRAAUSD,ASTRA,AstraAI,1.4123,17.583881442011492,12742639.94237994
CRYPTO:ASTRAUSD,ASTRA,ASTRA Protocol,0.0024244,5.385785698761144,890235.4397244
CRYPTO:ASTROSUSD,ASTROS,ASTROS,0.048348,0.4759034892661943,1232849.94541956
CRYPTO:ASVUSD,ASV,Asvoria,0.044898,-3.6482252457187005,5387760
CRYPTO:ASWUSD,ASW,AdaSwap,7.1006e-06,4.708536711250062,45125.3442698422
CRYPTO:ATAUSD,ATA,Automata Network,0.070046,1.9108465646966493,41172480.41135541
CRYPTO:ATEMNUSD,ATEM,Atem Network,0.00032438,-9.053186418818525,11044.2379437236
CRYPTO:ATHAEUSD,ATH,Aethir,0.046237,15.643995297295952,420048116.171757
CRYPTO:ATKUSD,ATK,Attack Wagon,9.5295e-05,-0.003148019895478421,24294.76132121085
CRYPTO:ATLASUSD,ATLAS,Star Atlas,0.0015113,-2.760262514476902,28900308.05545076
CRYPTO:ATMUSD,ATM,Atletico De Madrid Fan Token,1.2964,-0.3688902551490867,8775844.9744
CRYPTO:ATNUSD,ATN,Athene Network,0.0019999,17.620419925895437,564010.0960851001
CRYPTO:ATNTUSD,ATNT,Artizen,0.00050087,-1.3781611448735527,
CRYPTO:ATOLOUSD,ATOLO,RIZON,0.00012499,3.622948101475721,287649.13347540965
CRYPTO:ATOMUSD,ATOM,Cosmos,5.1397,-2.3040510997471624,2009284528.2988002
CRYPTO:ATOZUSD,ATOZ,Race Kingdom,0.042258,-0.8679741015295164,
CRYPTO:ATRUSD,ATR,Artrade,0.025641,-3.1504986400725215,32310328.082629934
CRYPTO:ATRSUSD,ATRS,Attarius Network,0.0047288,2.6906121739885704,45648.0710752
CRYPTO:ATSAUSD,ATS,Alltoscan,0.059567,0.8482755117590194,3694291.5465527405
CRYPTO:AUCAUSD,AUC,Advanced Project,0.00050597,-38.6353732933088,901590.25933066
CRYPTO:AUCTIONUSD,AUCTION,Bounce Token,12.918,-1.0352760736196303,78672458.10240678
CRYPTO:AUDIOUSD,AUDIO,Audius,0.079942,-0.605887183060043,105737608.375274
CRYPTO:AUKIUSD,AUKI,Auki Labs,0.022298,-8.104896537594758,32221223.306489997
CRYPTO:AURIUSD,AUR,Aurix,0.74346,0.5436546575787113,12638820
CRYPTO:AURAUSD,AURA,Aura Network,0.0042943,-26.51053013798112,1703046.7339364544
CRYPTO:AURORAUSD,AURORA,Aurora,0.097935,-1.4591635470756419,58920246.129465
CRYPTO:AUSDAGUSD,AUSD,AUSD,1.0005,0.04999500049994449,57241484.98927499
CRYPTO:AUSDTUSD,AUSDT,aUSDT,0.98825,-0.024279456544832826,49412504.94125
