symbol,name,close,change,volume,market_cap_basic
NASDAQ:AEHL,AEHL,2.48,-4.615384615384619,391138,8478593.999999998
NASDAQ:AEHR,AEHR,8.45,0.23724792408065923,238911,251568409
NASDAQ:AEI,AEI,0.96,-3.990399039903995,23491,10305714
NASDAQ:AEIS,AEIS,112.7,1.9402107548279102,265225,4243761669.0000005
OTC:AELIY,AELIY,7.47,-25.3,134,859483123.3179201
NYSE:AEM,AEM,117.32,2.319902319902317,2384329,59309882196.32171
NASDAQ:AEMD,AEMD,0.366,-0.7861208999728961,58431,5887390
NASDAQ:AENT,AENT,2.54,7.172995780590714,17655,129431720.00000001
NYSE:AEO,AEO,11.14,-1.8502202643171726,3267284,1921807293.0000002
AMEX:AEON,AEON,0.4734,3.3624454148471545,194580,5040108
OTC:AEOXF,AEOXF,120.86,-1.1451006052674673,1,11958142107.68771
NASDAQ:AEP,AEP,104.68,-0.48483696168836476,3056956,55919533530
OTC:AEPT,AEPT,0.0011,0,150,307296
NYSE:AER,AER,109.57,1.0420509037255583,1865435,19346397798.000004
OTC:AERG,AERG,0.82255,6.1354838709677395,60050,179515626
OTC:AERS,AERS,0.002,0,1681963,449602.99999999994
NASDAQ:AERT,AERT,0.6289,-1.8876755070202806,205256,28022523
NYSE:AES,AES,11.12,2.7726432532347403,14690055,7916581348.999999
NYSE:AESI,AESI,12.57,2.6122448979591857,1847227,1553918837
OTC:AESO,AESO,0.0094,-2.083333333333321,308000,705000
CBOE:AESR,AESR,17.0971,-0.250291715285878,8456,
AMEX:AETH,AETH,35.5207,9.621639971607564,2161,
OTC:AETHF,AETHF,0.0058,579900,16500,612505.9066666666
OTC:AETUF,AETUF,19.345,0.07759958613554356,10283,11335006027.92736
NASDAQ:AEVA,AEVA,11.12,9.126594700686946,2670014,611706042.0000001
OTC:AEXAD,AEXAD,40.81,1.923076923076931,109,773698901.4503669
OTC:AEXE,AEXE,1e-06,0,1000,1458.0000000000002
OTC:AEXFF,AEXFF,0.0193,5.464480874316944,700,81429920.0526316
OTC:AEXYD,AEXYD,5.2,-42.22222222222222,342,870493108.24236
NASDAQ:AEYE,AEYE,12.46,4.530201342281887,106679,155230521.00000003
OTC:AEYGQ,AEYGQ,0.0001,0,100,149.471
NYSE:AFB,AFB,10.42,0.3853564547206083,37685,299521858
NASDAQ:AFBI,AFBI,18.45,-0.05417118093175278,1614,116783241.99999999
NASDAQ:AFCG,AFCG,5.55,0.909090909090906,53693,125407850
OTC:AFDG,AFDG,0.008125,-18.75,20979,912030.9999999999
OTC:AFFL,AFFL,0.058,0,10074,
OTC:AFFS,AFFS,15.5,0.32362459546926026,650,
OTC:AFFT,AFFT,16.7,3.7267080745341477,100,
OTC:AFFU,AFFU,0.0003,49.99999999999998,6587965,186550
OTC:AFFY,AFFY,0.0008,-66.66666666666666,500,29992
NYSE:AFG,AFG,121.82,-0.7980456026058664,531505,10174160600.999998
NYSE:AFGB,AFGB,21.25,-0.28155795401219486,7251,10174160601
NYSE:AFGC,AFGC,18.94,0.11047037121216668,4674,10174160601
NYSE:AFGD,AFGD,20.4,0.1964636542239644,6153,10174160601
NYSE:AFGE,AFGE,16.8,0.11918951132300103,3516,10174160601
OTC:AFGYF,AFGYF,0.11597,9.096895578551267,117,99206171.19449998
OTC:AFIB,AFIB,0.03,0,16214,897369.0000000001
CBOE:AFIF,AFIF,9.22,0.10857763300759812,31683,
OTC:AFIIQ,AFIIQ,0.0001,0,33212,2177.9999999999995
AMEX:AFIX,AFIX,24.7265,0.06879944960441536,3168,
NASDAQ:AFJK,AFJK,11.03,0.2727272727272669,9414,67522714.99
AMEX:AFK,AFK,18.19,1.0555555555555627,12242,
NYSE:AFL,AFL,105.97,-0.3104421448729993,1353074,57292153379.99999
AMEX:AFLG,AFLG,33.78,-0.05917159763312433,104086,
OTC:AFLYY,AFLYY,0.89,1.1363636363636374,2780,2386683155.9591703
AMEX:AFMC,AFMC,30.62,-0.2280873248615193,14635,
NASDAQ:AFMD,AFMD,0.685,-2.142857142857129,93525,10430812
OTC:AFMJF,AFMJF,0.65,1.5625000000000013,52409,829536815.7142859
OTC:AFML,AFML,0.0001,0,9000,7656
OTC:AFOM,AFOM,1e-06,0,33500000,9252.859999999999
OTC:AFPW,AFPW,1e-06,0,50005,4703
NASDAQ:AFRI,AFRI,7.84,-1.010101010101011,12415,210908486.99999997
NASDAQ:AFRM,AFRM,46.41,-14.467379284924442,32087254,14971680402.000002
NASDAQ:AFSC,AFSC,27,-0.4057543341940223,23219,
OTC:AFSIA,AFSIA,13.26,1.687116564417183,1550,
OTC:AFSIB,AFSIB,13.5,0,212,
OTC:AFSIC,AFSIC,14.76,-3.2131147540983616,400,
OTC:AFSIM,AFSIM,14.45,0.3472222222222148,2713,
OTC:AFSIN,AFSIN,13.8,0.14513788098694738,2845,
OTC:AFSIP,AFSIP,14,0,4996,
AMEX:AFSM,AFSM,28.44,-0.03514938488575751,9060,
NASDAQ:AFYA,AFYA,19.61,1.0824742268041283,201689,1772524790.9999998
NYSE:AG,AG,5.9,7.078039927404729,21791664,2859365555.8515816
NASDAQ:AGAE,AGAE,1.39,4.511278195488709,166734,61307359
OTC:AGAGF,AGAGF,0.22,0.04547521600727102,211188,37205163.74193548
OTC:AGCCF,AGCCF,0.0421,-12.291666666666671,3048,18934398.658666663
NYSE:AGCO,AGCO,99.34,1.2743398919359772,745206,7409452400.999999
OTC:AGCZ,AGCZ,0.0001,9900.000000000002,170,2872.0284
NYSE:AGD,AGD,10.14,0.09871668311944508,83182,252132114
OTC:AGDY,AGDY,0.0081,1.2499999999999925,10000,16365285.562499996
NASDAQ:AGEM,AGEM,30.245,0.5819753907549076,2655,
NASDAQ:AGEN,AGEN,2.91,-4.2763157894736805,783285,79069526
OTC:AGESF,AGESF,63.225,-0.8484145155725572,1212,12320483884.874998
OTC:AGESY,AGESY,64.055,1.1607706885660243,6224,12294528732.157528
OTC:AGFMF,AGFMF,8.02,1.647655259822559,100,524311575.1625
NASDAQ:AGFY,AGFY,23.71,-13.53026987600292,204532,46282252
AMEX:AGG,AGG,97.76,0.10239606799099787,5739278,
NASDAQ:AGGA,AGGA,24.89,0.020092425155712294,112832,
AMEX:AGGH,AGGH,20.22,0.19821605550049132,91074,
OTC:AGGI,AGGI,0.018,-24.686192468619257,14500,1343592
AMEX:AGGS,AGGS,40.5497,-0.46710849288169015,19,
AMEX:AGGY,AGGY,42.91,0.023310023310018673,44155,
OTC:AGGZF,AGGZF,27.54,-1.3610315186246509,1176,513786942.7252066
